到达小时,任务类型,图形处理器总需求
1834,批量推理任务,71
1835,人工智能训练任务,283
1835,实时推理任务,21
1835,批量推理任务,150
1836,人工智能训练任务,259
1836,实时推理任务,21
1836,批量推理任务,109
1837,人工智能训练任务,420
1837,实时推理任务,17
1837,批量推理任务,121
1838,人工智能训练任务,1088
1838,实时推理任务,14
1838,批量推理任务,152
1839,人工智能训练任务,128
1839,实时推理任务,37
1839,批量推理任务,76
1840,人工智能训练任务,195
1840,实时推理任务,30
1840,批量推理任务,98
1841,人工智能训练任务,499
1841,实时推理任务,45
1841,批量推理任务,99
1842,人工智能训练任务,567
1842,实时推理任务,18
1842,批量推理任务,71
1843,人工智能训练任务,151
1843,实时推理任务,15
1843,批量推理任务,103
1844,人工智能训练任务,461
1844,实时推理任务,35
1844,批量推理任务,53
1845,人工智能训练任务,928
1845,实时推理任务,22
1845,批量推理任务,61
1846,人工智能训练任务,435
1846,实时推理任务,10
1846,批量推理任务,59
1847,人工智能训练任务,477
1847,实时推理任务,24
1847,批量推理任务,103
1848,人工智能训练任务,440
1848,实时推理任务,13
1848,批量推理任务,105
1849,人工智能训练任务,664
1849,实时推理任务,26
1849,批量推理任务,199
1850,人工智能训练任务,336
1850,实时推理任务,16
1850,批量推理任务,105
1851,人工智能训练任务,630
1851,实时推理任务,54
1851,批量推理任务,189
1852,人工智能训练任务,627
1852,实时推理任务,11
1852,批量推理任务,113
1853,人工智能训练任务,493
1853,实时推理任务,17
1853,批量推理任务,81
1854,人工智能训练任务,328
1854,实时推理任务,39
1854,批量推理任务,94
1855,人工智能训练任务,322
1855,实时推理任务,25
1855,批量推理任务,132
1856,人工智能训练任务,420
1856,实时推理任务,31
1856,批量推理任务,114
1857,人工智能训练任务,404
1857,实时推理任务,47
1857,批量推理任务,104
1858,人工智能训练任务,364
1858,实时推理任务,26
1858,批量推理任务,133
1859,人工智能训练任务,577
1859,实时推理任务,29
1859,批量推理任务,127
1860,人工智能训练任务,348
1860,实时推理任务,25
1860,批量推理任务,93
1861,人工智能训练任务,398
1861,实时推理任务,45
1861,批量推理任务,83
1862,人工智能训练任务,245
1862,实时推理任务,18
1862,批量推理任务,49
1863,人工智能训练任务,354
1863,实时推理任务,42
1863,批量推理任务,122
1864,人工智能训练任务,185
1864,实时推理任务,5
1864,批量推理任务,142
1865,人工智能训练任务,471
1865,实时推理任务,23
1865,批量推理任务,76
1866,人工智能训练任务,706
1866,实时推理任务,29
1866,批量推理任务,37
1867,人工智能训练任务,442
1867,实时推理任务,12
1867,批量推理任务,137
1868,人工智能训练任务,765
1868,实时推理任务,22
1868,批量推理任务,112
1869,人工智能训练任务,688
1869,实时推理任务,38
1869,批量推理任务,76
1870,人工智能训练任务,599
1870,实时推理任务,28
1870,批量推理任务,121
1871,人工智能训练任务,275
1871,实时推理任务,11
1871,批量推理任务,102
1872,人工智能训练任务,20
1872,实时推理任务,14
1872,批量推理任务,154
1873,人工智能训练任务,675
1873,实时推理任务,13
1873,批量推理任务,51
1874,人工智能训练任务,777
1874,实时推理任务,23
1874,批量推理任务,120
1875,人工智能训练任务,585
1875,实时推理任务,19
1875,批量推理任务,55
1876,人工智能训练任务,657
1876,实时推理任务,11
1876,批量推理任务,139
1877,人工智能训练任务,605
1877,实时推理任务,29
1877,批量推理任务,58
1878,人工智能训练任务,321
1878,实时推理任务,40
1878,批量推理任务,74
1879,人工智能训练任务,516
1879,实时推理任务,21
1879,批量推理任务,101
1880,人工智能训练任务,537
1880,实时推理任务,20
1880,批量推理任务,118
1881,人工智能训练任务,121
1881,实时推理任务,33
1881,批量推理任务,56
1882,人工智能训练任务,732
1882,实时推理任务,17
1882,批量推理任务,148
1883,人工智能训练任务,653
1883,实时推理任务,4
1883,批量推理任务,49
1884,人工智能训练任务,573
1884,实时推理任务,17
1884,批量推理任务,96
1885,人工智能训练任务,334
1885,实时推理任务,21
1885,批量推理任务,95
1886,人工智能训练任务,421
1886,实时推理任务,40
1886,批量推理任务,32
1887,人工智能训练任务,315
1887,实时推理任务,21
1887,批量推理任务,87
1888,人工智能训练任务,652
1888,实时推理任务,27
1888,批量推理任务,122
1889,人工智能训练任务,475
1889,实时推理任务,22
1889,批量推理任务,150
1890,人工智能训练任务,318
1890,实时推理任务,28
1890,批量推理任务,29
1891,人工智能训练任务,369
1891,实时推理任务,39
1891,批量推理任务,140
1892,人工智能训练任务,376
1892,实时推理任务,39
1892,批量推理任务,147
1893,人工智能训练任务,360
1893,实时推理任务,12
1893,批量推理任务,81
1894,人工智能训练任务,130
1894,实时推理任务,19
1894,批量推理任务,151
1895,人工智能训练任务,194
1895,实时推理任务,26
1895,批量推理任务,80
1896,人工智能训练任务,755
1896,实时推理任务,23
1896,批量推理任务,89
1897,人工智能训练任务,505
1897,实时推理任务,40
1897,批量推理任务,26
1898,人工智能训练任务,259
1898,实时推理任务,19
1898,批量推理任务,70
1899,人工智能训练任务,262
1899,实时推理任务,16
1899,批量推理任务,111
1900,人工智能训练任务,558
1900,实时推理任务,25
1900,批量推理任务,120
1901,人工智能训练任务,378
1901,实时推理任务,41
1901,批量推理任务,87
1902,人工智能训练任务,244
1902,实时推理任务,23
1902,批量推理任务,86
1903,人工智能训练任务,407
1903,实时推理任务,45
1903,批量推理任务,110
1904,人工智能训练任务,178
1904,实时推理任务,25
1904,批量推理任务,175
1905,人工智能训练任务,386
1905,实时推理任务,31
1905,批量推理任务,61
1906,人工智能训练任务,229
1906,实时推理任务,33
1906,批量推理任务,75
1907,人工智能训练任务,218
1907,实时推理任务,31
1907,批量推理任务,70
1908,人工智能训练任务,452
1908,实时推理任务,13
1908,批量推理任务,131
1909,人工智能训练任务,762
1909,实时推理任务,21
1909,批量推理任务,108
1910,人工智能训练任务,258
1910,实时推理任务,43
1910,批量推理任务,100
1911,人工智能训练任务,592
1911,实时推理任务,25
1911,批量推理任务,78
1912,人工智能训练任务,464
1912,实时推理任务,36
1912,批量推理任务,135
1913,人工智能训练任务,254
1913,实时推理任务,33
1913,批量推理任务,82
1914,人工智能训练任务,647
1914,实时推理任务,14
1914,批量推理任务,116
1915,人工智能训练任务,322
1915,实时推理任务,25
1915,批量推理任务,116
1916,人工智能训练任务,68
1916,实时推理任务,30
1916,批量推理任务,88
1917,人工智能训练任务,702
1917,实时推理任务,24
1917,批量推理任务,85
1918,人工智能训练任务,655
1918,实时推理任务,27
1918,批量推理任务,119
1919,人工智能训练任务,625
1919,实时推理任务,18
1919,批量推理任务,98
1920,人工智能训练任务,306
1920,实时推理任务,38
1920,批量推理任务,86
1921,人工智能训练任务,700
1921,实时推理任务,29
1921,批量推理任务,56
1922,人工智能训练任务,658
1922,实时推理任务,34
1922,批量推理任务,10
1923,人工智能训练任务,601
1923,实时推理任务,33
1923,批量推理任务,58
1924,人工智能训练任务,712
1924,实时推理任务,20
1924,批量推理任务,161
1925,人工智能训练任务,545
1925,实时推理任务,30
1925,批量推理任务,65
1926,人工智能训练任务,835
1926,实时推理任务,26
1926,批量推理任务,72
1927,人工智能训练任务,536
1927,实时推理任务,21
1927,批量推理任务,55
1928,人工智能训练任务,400
1928,实时推理任务,47
1928,批量推理任务,138
1929,人工智能训练任务,603
1929,实时推理任务,19
1929,批量推理任务,69
1930,人工智能训练任务,269
1930,实时推理任务,33
1930,批量推理任务,97
1931,人工智能训练任务,453
1931,实时推理任务,14
1931,批量推理任务,102
1932,人工智能训练任务,419
1932,实时推理任务,42
1932,批量推理任务,23
1933,人工智能训练任务,449
1933,实时推理任务,14
1933,批量推理任务,86
1934,人工智能训练任务,904
1934,实时推理任务,50
1934,批量推理任务,97
1935,人工智能训练任务,635
1935,实时推理任务,39
1935,批量推理任务,83
1936,人工智能训练任务,288
1936,实时推理任务,13
1936,批量推理任务,27
1937,人工智能训练任务,608
1937,实时推理任务,9
1937,批量推理任务,77
1938,人工智能训练任务,177
1938,实时推理任务,13
1938,批量推理任务,102
1939,人工智能训练任务,1188
1939,实时推理任务,22
1939,批量推理任务,76
1940,人工智能训练任务,276
1940,实时推理任务,37
1940,批量推理任务,59
1941,人工智能训练任务,523
1941,实时推理任务,41
1941,批量推理任务,52
1942,人工智能训练任务,453
1942,实时推理任务,23
1942,批量推理任务,164
1943,人工智能训练任务,451
1943,实时推理任务,52
1943,批量推理任务,71
1944,人工智能训练任务,742
1944,实时推理任务,51
1944,批量推理任务,68
1945,人工智能训练任务,516
1945,实时推理任务,25
1945,批量推理任务,117
1946,人工智能训练任务,496
1946,实时推理任务,41
1946,批量推理任务,54
1947,人工智能训练任务,46
1947,实时推理任务,15
1947,批量推理任务,83
1948,人工智能训练任务,964
1948,实时推理任务,36
1948,批量推理任务,135
1949,人工智能训练任务,351
1949,实时推理任务,51
1949,批量推理任务,52
1950,人工智能训练任务,277
1950,实时推理任务,32
1950,批量推理任务,128
1951,人工智能训练任务,571
1951,实时推理任务,13
1951,批量推理任务,98
1952,人工智能训练任务,703
1952,实时推理任务,31
1952,批量推理任务,108
1953,人工智能训练任务,345
1953,实时推理任务,41
1953,批量推理任务,140
1954,人工智能训练任务,528
1954,实时推理任务,27
1954,批量推理任务,46
1955,人工智能训练任务,552
1955,实时推理任务,14
1955,批量推理任务,67
1956,人工智能训练任务,379
1956,实时推理任务,29
1956,批量推理任务,109
1957,人工智能训练任务,313
1957,实时推理任务,21
1957,批量推理任务,40
1958,人工智能训练任务,95
1958,实时推理任务,42
1958,批量推理任务,203
1959,人工智能训练任务,735
1959,实时推理任务,17
1959,批量推理任务,168
1960,人工智能训练任务,548
1960,实时推理任务,25
1960,批量推理任务,113
1961,人工智能训练任务,783
1961,实时推理任务,43
1961,批量推理任务,137
1962,人工智能训练任务,858
1962,实时推理任务,15
1962,批量推理任务,70
1963,人工智能训练任务,193
1963,实时推理任务,16
1963,批量推理任务,75
1964,人工智能训练任务,635
1964,实时推理任务,17
1964,批量推理任务,99
1965,人工智能训练任务,431
1965,实时推理任务,29
1965,批量推理任务,87
1966,人工智能训练任务,586
1966,实时推理任务,24
1966,批量推理任务,143
1967,人工智能训练任务,482
1967,实时推理任务,25
1967,批量推理任务,101
1968,人工智能训练任务,637
1968,实时推理任务,9
1968,批量推理任务,140
1969,人工智能训练任务,720
1969,实时推理任务,14
1969,批量推理任务,98
1970,人工智能训练任务,306
1970,实时推理任务,25
1970,批量推理任务,77
1971,人工智能训练任务,197
1971,实时推理任务,36
1971,批量推理任务,134
1972,人工智能训练任务,400
1972,实时推理任务,15
1972,批量推理任务,25
1973,人工智能训练任务,140
1973,实时推理任务,17
1973,批量推理任务,38
1974,人工智能训练任务,855
1974,实时推理任务,11
1974,批量推理任务,49
1975,人工智能训练任务,639
1975,实时推理任务,21
1975,批量推理任务,121
1976,人工智能训练任务,400
1976,实时推理任务,34
1976,批量推理任务,126
1977,人工智能训练任务,331
1977,实时推理任务,24
1977,批量推理任务,102
1978,人工智能训练任务,755
1978,实时推理任务,14
1978,批量推理任务,73
1979,人工智能训练任务,652
1979,实时推理任务,25
1979,批量推理任务,111
1980,人工智能训练任务,550
1980,实时推理任务,13
1980,批量推理任务,107
1981,人工智能训练任务,725
1981,实时推理任务,31
1981,批量推理任务,78
1982,人工智能训练任务,435
1982,实时推理任务,37
1982,批量推理任务,92
1983,人工智能训练任务,664
1983,实时推理任务,20
1983,批量推理任务,134
1984,人工智能训练任务,692
1984,实时推理任务,31
1984,批量推理任务,87
1985,人工智能训练任务,321
1985,实时推理任务,9
1985,批量推理任务,101
1986,人工智能训练任务,300
1986,实时推理任务,33
1986,批量推理任务,119
1987,人工智能训练任务,641
1987,实时推理任务,15
1987,批量推理任务,73
1988,人工智能训练任务,338
1988,实时推理任务,41
1988,批量推理任务,110
1989,人工智能训练任务,537
1989,实时推理任务,20
1989,批量推理任务,101
1990,人工智能训练任务,311
1990,实时推理任务,44
1990,批量推理任务,159
1991,人工智能训练任务,766
1991,实时推理任务,15
1991,批量推理任务,113
1992,人工智能训练任务,410
1992,实时推理任务,19
1992,批量推理任务,121
1993,人工智能训练任务,373
1993,实时推理任务,21
1993,批量推理任务,152
1994,人工智能训练任务,540
1994,实时推理任务,24
1994,批量推理任务,113
1995,人工智能训练任务,253
1995,实时推理任务,24
1995,批量推理任务,80
1996,人工智能训练任务,212
1996,实时推理任务,28
1996,批量推理任务,96
1997,人工智能训练任务,261
1997,实时推理任务,47
1997,批量推理任务,10
1998,人工智能训练任务,482
1998,实时推理任务,44
1998,批量推理任务,38
1999,人工智能训练任务,488
1999,实时推理任务,25
1999,批量推理任务,136
2000,人工智能训练任务,355
2000,实时推理任务,43
2000,批量推理任务,37
2001,人工智能训练任务,626
2001,实时推理任务,11
2001,批量推理任务,48
2002,人工智能训练任务,327
2002,实时推理任务,37
2002,批量推理任务,76
2003,人工智能训练任务,518
2003,实时推理任务,21
2003,批量推理任务,132
2004,人工智能训练任务,508
2004,实时推理任务,10
2004,批量推理任务,114
2005,人工智能训练任务,394
2005,实时推理任务,13
2005,批量推理任务,89
2006,人工智能训练任务,567
2006,实时推理任务,23
2006,批量推理任务,68
2007,人工智能训练任务,771
2007,实时推理任务,27
2007,批量推理任务,161
2008,人工智能训练任务,607
2008,实时推理任务,30
2008,批量推理任务,73
2009,人工智能训练任务,716
2009,实时推理任务,23
2009,批量推理任务,108
2010,人工智能训练任务,1030
2010,实时推理任务,36
2010,批量推理任务,79
2011,人工智能训练任务,612
2011,实时推理任务,23
2011,批量推理任务,181
2012,人工智能训练任务,554
2012,实时推理任务,14
2012,批量推理任务,163
2013,人工智能训练任务,1066
2013,实时推理任务,61
2013,批量推理任务,78
2014,人工智能训练任务,594
2014,实时推理任务,9
2014,批量推理任务,169
2015,人工智能训练任务,765
2015,实时推理任务,23
2015,批量推理任务,141
2016,人工智能训练任务,523
2016,实时推理任务,16
2016,批量推理任务,12
2017,人工智能训练任务,513
2017,实时推理任务,20
2017,批量推理任务,90
2018,人工智能训练任务,848
2018,实时推理任务,19
2018,批量推理任务,58
2019,人工智能训练任务,914
2019,实时推理任务,4
2019,批量推理任务,100
2020,人工智能训练任务,488
2020,实时推理任务,20
2020,批量推理任务,53
2021,人工智能训练任务,921
2021,实时推理任务,30
2021,批量推理任务,80
2022,人工智能训练任务,218
2022,实时推理任务,11
2022,批量推理任务,79
2023,人工智能训练任务,619
2023,实时推理任务,30
2023,批量推理任务,72
2024,人工智能训练任务,724
2024,实时推理任务,29
2024,批量推理任务,75
2025,人工智能训练任务,426
2025,实时推理任务,35
2025,批量推理任务,37
2026,人工智能训练任务,530
2026,实时推理任务,24
2026,批量推理任务,71
2027,人工智能训练任务,554
2027,实时推理任务,21
2027,批量推理任务,108
2028,人工智能训练任务,681
2028,实时推理任务,9
2028,批量推理任务,190
2029,人工智能训练任务,584
2029,实时推理任务,21
2029,批量推理任务,166
2030,人工智能训练任务,184
2030,实时推理任务,25
2030,批量推理任务,147
2031,人工智能训练任务,435
2031,实时推理任务,32
2031,批量推理任务,99
2032,人工智能训练任务,223
2032,实时推理任务,41
2032,批量推理任务,93
2033,人工智能训练任务,350
2033,实时推理任务,34
2033,批量推理任务,138
2034,人工智能训练任务,377
2034,实时推理任务,34
2034,批量推理任务,67
2035,人工智能训练任务,539
2035,实时推理任务,63
2035,批量推理任务,30
2036,人工智能训练任务,161
2036,实时推理任务,13
2036,批量推理任务,72
2037,人工智能训练任务,656
2037,实时推理任务,19
2037,批量推理任务,106
2038,人工智能训练任务,741
2038,实时推理任务,24
2038,批量推理任务,73
2039,人工智能训练任务,625
2039,实时推理任务,18
2039,批量推理任务,147
2040,人工智能训练任务,708
2040,实时推理任务,20
2040,批量推理任务,94
2041,人工智能训练任务,327
2041,实时推理任务,19
2041,批量推理任务,33
2042,人工智能训练任务,110
2042,实时推理任务,10
2042,批量推理任务,121
2043,人工智能训练任务,306
2043,实时推理任务,21
2043,批量推理任务,122
2044,人工智能训练任务,296
2044,实时推理任务,27
2044,批量推理任务,92
2045,人工智能训练任务,530
2045,实时推理任务,14
2045,批量推理任务,124
2046,人工智能训练任务,836
2046,实时推理任务,54
2046,批量推理任务,97
2047,人工智能训练任务,292
2047,实时推理任务,38
2047,批量推理任务,97
2048,人工智能训练任务,542
2048,实时推理任务,10
2048,批量推理任务,179
2049,人工智能训练任务,630
2049,实时推理任务,35
2049,批量推理任务,73
2050,人工智能训练任务,206
2050,实时推理任务,55
2050,批量推理任务,110
2051,人工智能训练任务,277
2051,实时推理任务,15
2051,批量推理任务,105
2052,人工智能训练任务,653
2052,实时推理任务,30
2052,批量推理任务,81
2053,人工智能训练任务,296
2053,实时推理任务,26
2053,批量推理任务,152
2054,人工智能训练任务,59
2054,实时推理任务,44
2054,批量推理任务,62
2055,人工智能训练任务,730
2055,实时推理任务,21
2055,批量推理任务,58
2056,人工智能训练任务,640
2056,实时推理任务,43
2056,批量推理任务,109
2057,人工智能训练任务,556
2057,实时推理任务,48
2057,批量推理任务,181
2058,人工智能训练任务,404
2058,实时推理任务,30
2058,批量推理任务,70
2059,人工智能训练任务,507
2059,实时推理任务,36
2059,批量推理任务,35
2060,人工智能训练任务,524
2060,实时推理任务,23
2060,批量推理任务,36
2061,人工智能训练任务,357
2061,实时推理任务,19
2061,批量推理任务,136
2062,人工智能训练任务,364
2062,实时推理任务,24
2062,批量推理任务,72
2063,人工智能训练任务,962
2063,实时推理任务,33
2063,批量推理任务,95
2064,人工智能训练任务,504
2064,实时推理任务,19
2064,批量推理任务,54
2065,人工智能训练任务,576
2065,实时推理任务,18
2065,批量推理任务,78
2066,人工智能训练任务,805
2066,实时推理任务,39
2066,批量推理任务,22
2067,人工智能训练任务,450
2067,实时推理任务,29
2067,批量推理任务,82
2068,人工智能训练任务,661
2068,实时推理任务,26
2068,批量推理任务,101
2069,人工智能训练任务,356
2069,实时推理任务,30
2069,批量推理任务,36
2070,人工智能训练任务,292
2070,实时推理任务,20
2070,批量推理任务,128
2071,人工智能训练任务,192
2071,实时推理任务,29
2071,批量推理任务,105
2072,人工智能训练任务,441
2072,实时推理任务,27
2072,批量推理任务,106
2073,人工智能训练任务,439
2073,实时推理任务,11
2073,批量推理任务,98
2074,人工智能训练任务,718
2074,实时推理任务,32
2074,批量推理任务,64
2075,人工智能训练任务,226
2075,实时推理任务,19
2075,批量推理任务,52
2076,人工智能训练任务,746
2076,实时推理任务,33
2076,批量推理任务,97
2077,人工智能训练任务,438
2077,实时推理任务,46
2077,批量推理任务,109
2078,人工智能训练任务,811
2078,实时推理任务,21
2078,批量推理任务,93
2079,人工智能训练任务,343
2079,实时推理任务,57
2079,批量推理任务,81
2080,人工智能训练任务,318
2080,实时推理任务,41
2080,批量推理任务,78
2081,人工智能训练任务,914
2081,实时推理任务,42
2081,批量推理任务,39
2082,人工智能训练任务,329
2082,实时推理任务,25
2082,批量推理任务,77
2083,人工智能训练任务,544
2083,实时推理任务,21
2083,批量推理任务,117
2084,人工智能训练任务,555
2084,实时推理任务,31
2084,批量推理任务,72
2085,人工智能训练任务,334
2085,实时推理任务,14
2085,批量推理任务,46
2086,人工智能训练任务,337
2086,实时推理任务,17
2086,批量推理任务,119
2087,人工智能训练任务,551
2087,实时推理任务,26
2087,批量推理任务,135
2088,人工智能训练任务,561
2088,实时推理任务,22
2088,批量推理任务,103
2089,人工智能训练任务,863
2089,实时推理任务,31
2089,批量推理任务,50
2090,人工智能训练任务,450
2090,实时推理任务,32
2090,批量推理任务,78
2091,人工智能训练任务,556
2091,实时推理任务,29
2091,批量推理任务,84
2092,人工智能训练任务,894
2092,实时推理任务,34
2092,批量推理任务,61
2093,人工智能训练任务,539
2093,实时推理任务,26
2093,批量推理任务,141
2094,人工智能训练任务,793
2094,实时推理任务,54
2094,批量推理任务,150
2095,人工智能训练任务,605
2095,实时推理任务,39
2095,批量推理任务,109
2096,人工智能训练任务,521
2096,实时推理任务,14
2096,批量推理任务,100
2097,人工智能训练任务,840
2097,实时推理任务,28
2097,批量推理任务,54
2098,人工智能训练任务,359
2098,实时推理任务,22
2098,批量推理任务,50
2099,人工智能训练任务,366
2099,实时推理任务,28
2099,批量推理任务,228
2100,人工智能训练任务,386
2100,实时推理任务,23
2100,批量推理任务,60
2101,人工智能训练任务,334
2101,实时推理任务,11
2101,批量推理任务,98
2102,人工智能训练任务,151
2102,实时推理任务,54
2102,批量推理任务,70
2103,人工智能训练任务,270
2103,实时推理任务,29
2103,批量推理任务,127
2104,人工智能训练任务,285
2104,实时推理任务,23
2104,批量推理任务,56
2105,人工智能训练任务,390
2105,实时推理任务,27
2105,批量推理任务,60
2106,人工智能训练任务,472
2106,实时推理任务,6
2106,批量推理任务,150
2107,人工智能训练任务,283
2107,实时推理任务,18
2107,批量推理任务,103
2108,人工智能训练任务,594
2108,实时推理任务,28
2108,批量推理任务,49
2109,人工智能训练任务,301
2109,实时推理任务,21
2109,批量推理任务,222
2110,人工智能训练任务,332
2110,实时推理任务,30
2110,批量推理任务,113
2111,人工智能训练任务,646
2111,实时推理任务,25
2111,批量推理任务,89
2112,人工智能训练任务,305
2112,实时推理任务,26
2112,批量推理任务,75
2113,人工智能训练任务,187
2113,实时推理任务,20
2113,批量推理任务,74
2114,人工智能训练任务,662
2114,实时推理任务,19
2114,批量推理任务,75
2115,人工智能训练任务,453
2115,实时推理任务,12
2115,批量推理任务,89
2116,人工智能训练任务,863
2116,实时推理任务,12
2116,批量推理任务,67
2117,人工智能训练任务,947
2117,实时推理任务,31
2117,批量推理任务,65
2118,人工智能训练任务,585
2118,实时推理任务,18
2118,批量推理任务,51
2119,人工智能训练任务,473
2119,实时推理任务,16
2119,批量推理任务,100
2120,人工智能训练任务,599
2120,实时推理任务,40
2120,批量推理任务,52
2121,人工智能训练任务,532
2121,实时推理任务,21
2121,批量推理任务,71
2122,人工智能训练任务,422
2122,实时推理任务,31
2122,批量推理任务,47
2123,人工智能训练任务,177
2123,实时推理任务,32
2123,批量推理任务,86
2124,人工智能训练任务,201
2124,实时推理任务,15
2124,批量推理任务,30
2125,人工智能训练任务,609
2125,实时推理任务,16
2125,批量推理任务,90
2126,人工智能训练任务,324
2126,实时推理任务,20
2126,批量推理任务,76
2127,人工智能训练任务,404
2127,实时推理任务,32
2127,批量推理任务,97
2128,人工智能训练任务,562
2128,实时推理任务,64
2128,批量推理任务,91
2129,人工智能训练任务,602
2129,实时推理任务,42
2129,批量推理任务,97
2130,人工智能训练任务,439
2130,实时推理任务,28
2130,批量推理任务,65
2131,人工智能训练任务,390
2131,实时推理任务,18
2131,批量推理任务,36
2132,人工智能训练任务,745
2132,实时推理任务,23
2132,批量推理任务,151
2133,人工智能训练任务,260
2133,实时推理任务,34
2133,批量推理任务,103
2134,人工智能训练任务,364
2134,实时推理任务,34
2134,批量推理任务,135
2135,人工智能训练任务,412
2135,实时推理任务,45
2135,批量推理任务,71
2136,人工智能训练任务,99
2136,实时推理任务,12
2136,批量推理任务,70
2137,人工智能训练任务,722
2137,实时推理任务,43
2137,批量推理任务,113
2138,人工智能训练任务,771
2138,实时推理任务,12
2138,批量推理任务,85
2139,人工智能训练任务,866
2139,实时推理任务,19
2139,批量推理任务,109
2140,人工智能训练任务,786
2140,实时推理任务,22
2140,批量推理任务,66
2141,人工智能训练任务,418
2141,实时推理任务,27
2141,批量推理任务,107
2142,人工智能训练任务,325
2142,实时推理任务,26
2142,批量推理任务,72
2143,人工智能训练任务,881
2143,实时推理任务,23
2143,批量推理任务,85
2144,人工智能训练任务,291
2144,实时推理任务,21
2144,批量推理任务,79
2145,人工智能训练任务,504
2145,实时推理任务,50
2145,批量推理任务,64
2146,人工智能训练任务,657
2146,实时推理任务,9
2146,批量推理任务,92
2147,人工智能训练任务,160
2147,实时推理任务,37
2147,批量推理任务,55
2148,人工智能训练任务,845
2148,实时推理任务,38
2148,批量推理任务,96
2149,人工智能训练任务,851
2149,实时推理任务,42
2149,批量推理任务,49
2150,人工智能训练任务,553
2150,实时推理任务,23
2150,批量推理任务,94
2151,人工智能训练任务,549
2151,实时推理任务,33
2151,批量推理任务,111
2152,人工智能训练任务,420
2152,实时推理任务,23
2152,批量推理任务,67
2153,人工智能训练任务,310
2153,实时推理任务,36
2153,批量推理任务,39
2154,人工智能训练任务,272
2154,实时推理任务,25
2154,批量推理任务,81
2155,人工智能训练任务,651
2155,实时推理任务,28
2155,批量推理任务,105
2156,人工智能训练任务,412
2156,实时推理任务,43
2156,批量推理任务,97
2157,人工智能训练任务,498
2157,实时推理任务,34
2157,批量推理任务,28
2158,人工智能训练任务,418
2158,实时推理任务,15
2158,批量推理任务,107
2159,人工智能训练任务,267
2159,实时推理任务,29
2159,批量推理任务,86
2160,人工智能训练任务,405
2160,实时推理任务,28
2160,批量推理任务,55
2161,人工智能训练任务,413
2161,实时推理任务,26
2161,批量推理任务,99
2162,人工智能训练任务,121
2162,实时推理任务,30
2162,批量推理任务,111
2163,人工智能训练任务,605
2163,实时推理任务,41
2163,批量推理任务,79
2164,人工智能训练任务,396
2164,实时推理任务,20
2164,批量推理任务,102
2165,人工智能训练任务,332
2165,实时推理任务,14
2165,批量推理任务,120
2166,人工智能训练任务,686
2166,实时推理任务,30
2166,批量推理任务,30
2167,人工智能训练任务,571
2167,实时推理任务,45
2167,批量推理任务,31
2168,人工智能训练任务,1020
2168,实时推理任务,15
2168,批量推理任务,58
2169,人工智能训练任务,393
2169,实时推理任务,12
2169,批量推理任务,191
2170,人工智能训练任务,276
2170,实时推理任务,33
2170,批量推理任务,56
2171,人工智能训练任务,44
2171,实时推理任务,37
2171,批量推理任务,83
2172,人工智能训练任务,387
2172,实时推理任务,26
2172,批量推理任务,139
2173,人工智能训练任务,522
2173,实时推理任务,27
2173,批量推理任务,121
2174,人工智能训练任务,862
2174,实时推理任务,24
2174,批量推理任务,106
2175,人工智能训练任务,701
2175,实时推理任务,9
2175,批量推理任务,64
2176,人工智能训练任务,163
2176,实时推理任务,50
2176,批量推理任务,66
2177,人工智能训练任务,316
2177,实时推理任务,23
2177,批量推理任务,91
2178,人工智能训练任务,584
2178,实时推理任务,15
2178,批量推理任务,99
2179,人工智能训练任务,178
2179,实时推理任务,30
2179,批量推理任务,73
2180,人工智能训练任务,478
2180,实时推理任务,13
2180,批量推理任务,109
2181,人工智能训练任务,336
2181,实时推理任务,29
2181,批量推理任务,93
2182,人工智能训练任务,527
2182,实时推理任务,25
2182,批量推理任务,131
2183,人工智能训练任务,544
2183,实时推理任务,45
2183,批量推理任务,59
2184,人工智能训练任务,733
2184,实时推理任务,31
2184,批量推理任务,101
2185,人工智能训练任务,643
2185,实时推理任务,29
2185,批量推理任务,139
2186,人工智能训练任务,661
2186,实时推理任务,21
2186,批量推理任务,66
2187,人工智能训练任务,374
2187,实时推理任务,37
2187,批量推理任务,223
2188,人工智能训练任务,613
2188,实时推理任务,33
2188,批量推理任务,100
2189,人工智能训练任务,231
2189,实时推理任务,40
2189,批量推理任务,154
2190,人工智能训练任务,651
2190,实时推理任务,11
2190,批量推理任务,123
2191,人工智能训练任务,506
2191,实时推理任务,34
2191,批量推理任务,150
2192,人工智能训练任务,982
2192,实时推理任务,27
2192,批量推理任务,79
2193,人工智能训练任务,682
2193,实时推理任务,14
2193,批量推理任务,115
2194,人工智能训练任务,433
2194,实时推理任务,27
2194,批量推理任务,104
2195,人工智能训练任务,233
2195,实时推理任务,18
2195,批量推理任务,94
2196,人工智能训练任务,893
2196,实时推理任务,15
2196,批量推理任务,130
2197,人工智能训练任务,585
2197,实时推理任务,40
2197,批量推理任务,42
2198,人工智能训练任务,312
2198,实时推理任务,14
2198,批量推理任务,95
2199,人工智能训练任务,432
2199,实时推理任务,13
2199,批量推理任务,112
2200,人工智能训练任务,234
2200,实时推理任务,18
2200,批量推理任务,188
2201,人工智能训练任务,750
2201,实时推理任务,29
2201,批量推理任务,111
2202,人工智能训练任务,357
