任务编号,任务类型,到达小时,图形处理器需求量,连续执行时长,延时敏感性,来源区域,最大网络时延,最晚完成小时,最早开工小时,执行模式
33829,实时推理任务,1537,6,231,高,区域B,20,1541,1537,不可抢占
33830,实时推理任务,263,7,29,高,区域B,20,264,263,不可抢占
33831,批量推理任务,1244,17,320,中,区域D,80,2406,1244,不可抢占
33832,实时推理任务,474,1,66,高,区域C,20,476,474,不可抢占
33833,实时推理任务,2137,5,333,高,区域E,20,2143,2137,不可抢占
33834,人工智能训练任务,1384,27,147,低,区域C,150,2406,1384,不可抢占
33835,人工智能训练任务,1051,95,277,低,区域D,150,2406,1051,不可抢占
33836,人工智能训练任务,469,67,329,低,区域D,150,2406,469,不可抢占
33837,人工智能训练任务,605,72,28,低,区域E,150,2406,605,不可抢占
33838,人工智能训练任务,1582,45,222,低,区域E,150,2406,1582,不可抢占
33839,批量推理任务,2378,21,33,中,区域E,80,2406,2378,不可抢占
33840,批量推理任务,481,7,321,中,区域A,80,2406,481,不可抢占
33841,批量推理任务,840,19,41,中,区域A,80,2406,840,不可抢占
33842,实时推理任务,1613,2,347,高,区域A,20,1619,1613,不可抢占
33843,人工智能训练任务,1597,64,92,低,区域D,150,2406,1597,不可抢占
33844,批量推理任务,1251,9,214,中,区域D,80,2406,1251,不可抢占
33845,人工智能训练任务,491,78,249,低,区域F,150,2406,491,不可抢占
33846,批量推理任务,913,13,275,中,区域F,80,2406,913,不可抢占
33847,实时推理任务,892,2,153,高,区域A,20,895,892,不可抢占
33848,批量推理任务,1080,7,84,中,区域B,80,2406,1080,不可抢占
33849,实时推理任务,2,1,394,高,区域B,20,9,2,不可抢占
33850,人工智能训练任务,380,27,92,低,区域E,150,2406,380,不可抢占
33851,人工智能训练任务,2239,34,123,低,区域E,150,2406,2239,不可抢占
33852,实时推理任务,479,4,287,高,区域C,20,484,479,不可抢占
33853,实时推理任务,19,1,181,高,区域A,20,23,19,不可抢占
33854,批量推理任务,1015,14,17,中,区域A,80,2406,1015,不可抢占
33855,人工智能训练任务,674,32,260,低,区域D,150,2406,674,不可抢占
33856,实时推理任务,1121,7,360,高,区域B,20,1127,1121,不可抢占
33857,批量推理任务,963,8,73,中,区域D,80,2406,963,不可抢占
33858,实时推理任务,1574,6,365,高,区域C,20,1581,1574,不可抢占
33859,批量推理任务,1087,6,259,中,区域F,80,2406,1087,不可抢占
33860,人工智能训练任务,1287,51,338,低,区域B,150,2406,1287,不可抢占
33861,实时推理任务,2104,3,274,高,区域A,20,2109,2104,不可抢占
33862,人工智能训练任务,2052,40,280,低,区域D,150,2406,2052,不可抢占
33863,实时推理任务,2372,5,33,高,区域B,20,2373,2372,不可抢占
33864,批量推理任务,2050,11,102,中,区域D,80,2406,2050,不可抢占
33865,人工智能训练任务,1353,86,183,低,区域F,150,2406,1353,不可抢占
33866,批量推理任务,266,21,72,中,区域F,80,2406,266,不可抢占
33867,批量推理任务,461,18,349,中,区域A,80,2406,461,不可抢占
33868,批量推理任务,1167,9,247,中,区域B,80,2406,1167,不可抢占
33869,实时推理任务,1641,3,233,高,区域B,20,1645,1641,不可抢占
33870,人工智能训练任务,2285,87,345,低,区域E,150,2406,2285,不可抢占
33871,实时推理任务,874,3,240,高,区域C,20,878,874,不可抢占
33872,批量推理任务,1503,4,398,中,区域F,80,2406,1503,不可抢占
33873,人工智能训练任务,1050,82,61,低,区域B,150,2406,1050,不可抢占
33874,人工智能训练任务,839,96,92,低,区域D,150,2406,839,不可抢占
33875,实时推理任务,1161,4,251,高,区域B,20,1166,1161,不可抢占
33876,人工智能训练任务,1117,58,306,低,区域E,150,2406,1117,不可抢占
33877,实时推理任务,2148,7,217,高,区域C,20,2152,2148,不可抢占
33878,实时推理任务,284,1,318,高,区域C,20,290,284,不可抢占
33879,实时推理任务,23,6,214,高,区域F,20,27,23,不可抢占
33880,批量推理任务,1334,9,158,中,区域A,80,2406,1334,不可抢占
33881,批量推理任务,2215,8,287,中,区域B,80,2406,2215,不可抢占
33882,实时推理任务,2194,7,296,高,区域B,20,2199,2194,不可抢占
33883,人工智能训练任务,884,19,295,低,区域E,150,2406,884,不可抢占
33884,实时推理任务,780,6,152,高,区域C,20,783,780,不可抢占
33885,实时推理任务,1628,3,176,高,区域C,20,1631,1628,不可抢占
33886,批量推理任务,689,6,61,中,区域A,80,2406,689,不可抢占
33887,批量推理任务,1576,21,278,中,区域A,80,2406,1576,不可抢占
33888,批量推理任务,70,15,259,中,区域B,80,2406,70,不可抢占
33889,人工智能训练任务,973,32,154,低,区域E,150,2406,973,不可抢占
33890,人工智能训练任务,197,67,348,低,区域E,150,2406,197,不可抢占
33891,批量推理任务,1421,10,389,中,区域E,80,2406,1421,不可抢占
33892,实时推理任务,1379,2,115,高,区域E,20,1381,1379,不可抢占
33893,人工智能训练任务,2353,44,77,低,区域C,150,2406,2353,不可抢占
33894,人工智能训练任务,110,107,84,低,区域D,150,2406,110,不可抢占
33895,人工智能训练任务,1763,97,376,低,区域D,150,2406,1763,不可抢占
33896,批量推理任务,84,19,105,中,区域D,80,2406,84,不可抢占
33897,人工智能训练任务,472,32,346,低,区域E,150,2406,472,不可抢占
33898,实时推理任务,1538,7,368,高,区域C,20,1545,1538,不可抢占
33899,批量推理任务,451,14,361,中,区域A,80,2406,451,不可抢占
33900,实时推理任务,2356,6,386,高,区域A,20,2363,2356,不可抢占
33901,实时推理任务,1808,5,17,高,区域A,20,1809,1808,不可抢占
33902,人工智能训练任务,1539,41,255,低,区域D,150,2406,1539,不可抢占
33903,批量推理任务,401,12,153,中,区域D,80,2406,401,不可抢占
33904,实时推理任务,1335,3,305,高,区域C,20,1341,1335,不可抢占
33905,人工智能训练任务,664,106,149,低,区域F,150,2406,664,不可抢占
33906,实时推理任务,2213,7,294,高,区域A,20,2218,2213,不可抢占
33907,批量推理任务,1344,20,257,中,区域B,80,2406,1344,不可抢占
33908,实时推理任务,2043,3,373,高,区域B,20,2050,2043,不可抢占
33909,批量推理任务,2372,10,15,中,区域D,80,2406,2372,不可抢占
33910,批量推理任务,1449,20,83,中,区域D,80,2406,1449,不可抢占
33911,人工智能训练任务,1463,111,12,低,区域F,150,2406,1463,不可抢占
33912,人工智能训练任务,2183,34,222,低,区域A,150,2406,2183,不可抢占
33913,实时推理任务,770,2,389,高,区域A,20,777,770,不可抢占
33914,实时推理任务,2151,7,234,高,区域A,20,2155,2151,不可抢占
33915,批量推理任务,1780,21,385,中,区域C,80,2406,1780,不可抢占
33916,批量推理任务,1360,22,257,中,区域D,80,2406,1360,不可抢占
33917,批量推理任务,2313,13,328,中,区域E,80,2406,2313,不可抢占
33918,实时推理任务,1047,7,219,高,区域D,20,1051,1047,不可抢占
33919,批量推理任务,2089,22,398,中,区域A,80,2406,2089,不可抢占
33920,实时推理任务,605,5,61,高,区域A,20,607,605,不可抢占
33921,批量推理任务,2118,4,111,中,区域B,80,2406,2118,不可抢占
33922,人工智能训练任务,2105,38,373,低,区域E,150,2406,2105,不可抢占
33923,人工智能训练任务,508,104,85,低,区域E,150,2406,508,不可抢占
33924,实时推理任务,1920,3,227,高,区域C,20,1924,1920,不可抢占
33925,人工智能训练任务,2285,94,261,低,区域F,150,2406,2285,不可抢占
33926,批量推理任务,976,19,21,中,区域A,80,2406,976,不可抢占
33927,实时推理任务,241,5,83,高,区域A,20,243,241,不可抢占
33928,实时推理任务,1901,6,294,高,区域B,20,1906,1901,不可抢占
33929,实时推理任务,892,5,247,高,区域B,20,897,892,不可抢占
33930,实时推理任务,2009,1,150,高,区域C,20,2012,2009,不可抢占
33931,人工智能训练任务,2151,125,340,低,区域F,150,2406,2151,不可抢占
33932,实时推理任务,1901,2,389,高,区域A,20,1908,1901,不可抢占
33933,人工智能训练任务,1735,44,360,低,区域D,150,2406,1735,不可抢占
33934,实时推理任务,1022,1,227,高,区域B,20,1026,1022,不可抢占
33935,人工智能训练任务,707,122,300,低,区域E,150,2406,707,不可抢占
33936,批量推理任务,1373,20,54,中,区域D,80,2406,1373,不可抢占
33937,人工智能训练任务,2229,64,253,低,区域F,150,2406,2229,不可抢占
33938,实时推理任务,347,7,311,高,区域F,20,353,347,不可抢占
33939,人工智能训练任务,476,127,280,低,区域C,150,2406,476,不可抢占
33940,实时推理任务,1801,2,350,高,区域A,20,1807,1801,不可抢占
33941,批量推理任务,1714,16,390,中,区域C,80,2406,1714,不可抢占
33942,实时推理任务,1485,1,322,高,区域B,20,1491,1485,不可抢占
33943,实时推理任务,2234,1,53,高,区域C,20,2235,2234,不可抢占
33944,实时推理任务,1842,1,63,高,区域C,20,1844,1842,不可抢占
33945,人工智能训练任务,1089,42,180,低,区域A,150,2406,1089,不可抢占
33946,批量推理任务,519,9,349,中,区域A,80,2406,519,不可抢占
33947,批量推理任务,1593,8,246,中,区域B,80,2406,1593,不可抢占
33948,批量推理任务,1780,20,74,中,区域C,80,2406,1780,不可抢占
33949,人工智能训练任务,79,83,163,低,区域E,150,2406,79,不可抢占
33950,实时推理任务,1040,1,230,高,区域C,20,1044,1040,不可抢占
33951,人工智能训练任务,569,20,247,低,区域F,150,2406,569,不可抢占
33952,批量推理任务,1817,11,55,中,区域A,80,2406,1817,不可抢占
33953,批量推理任务,1292,21,211,中,区域B,80,2406,1292,不可抢占
33954,批量推理任务,378,22,274,中,区域C,80,2406,378,不可抢占
33955,实时推理任务,1386,5,242,高,区域B,20,1391,1386,不可抢占
33956,批量推理任务,1221,17,230,中,区域D,80,2406,1221,不可抢占
33957,批量推理任务,2232,14,329,中,区域E,80,2406,2232,不可抢占
33958,批量推理任务,1804,13,75,中,区域A,80,2406,1804,不可抢占
33959,人工智能训练任务,1445,81,258,低,区域D,150,2406,1445,不可抢占
33960,实时推理任务,1601,6,149,高,区域A,20,1604,1601,不可抢占
33961,实时推理任务,1041,2,64,高,区域B,20,1043,1041,不可抢占
33962,人工智能训练任务,73,94,98,低,区域E,150,2406,73,不可抢占
33963,实时推理任务,1083,4,262,高,区域C,20,1088,1083,不可抢占
33964,实时推理任务,87,7,110,高,区域E,20,89,87,不可抢占
33965,批量推理任务,1243,20,269,中,区域A,80,2406,1243,不可抢占
33966,人工智能训练任务,1231,16,176,低,区域D,150,2406,1231,不可抢占
33967,批量推理任务,2340,6,322,中,区域B,80,2406,2340,不可抢占
33968,批量推理任务,696,19,256,中,区域C,80,2406,696,不可抢占
33969,人工智能训练任务,1532,122,158,低,区域E,150,2406,1532,不可抢占
33970,实时推理任务,448,4,290,高,区域C,20,453,448,不可抢占
33971,批量推理任务,1430,9,349,中,区域A,80,2406,1430,不可抢占
33972,实时推理任务,2259,1,206,高,区域A,20,2263,2259,不可抢占
33973,人工智能训练任务,1870,50,112,低,区域D,150,2406,1870,不可抢占
33974,人工智能训练任务,889,91,364,低,区域D,150,2406,889,不可抢占
33975,人工智能训练任务,197,121,249,低,区域E,150,2406,197,不可抢占
33976,批量推理任务,1653,17,168,中,区域E,80,2406,1653,不可抢占
33977,批量推理任务,1647,14,206,中,区域F,80,2406,1647,不可抢占
33978,批量推理任务,1460,13,181,中,区域A,80,2406,1460,不可抢占
33979,人工智能训练任务,621,32,125,低,区域D,150,2406,621,不可抢占
33980,批量推理任务,1218,15,309,中,区域B,80,2406,1218,不可抢占
33981,实时推理任务,57,1,160,高,区域B,20,60,57,不可抢占
33982,实时推理任务,425,6,206,高,区域C,20,429,425,不可抢占
33983,批量推理任务,1969,20,101,中,区域E,80,2406,1969,不可抢占
33984,人工智能训练任务,2022,116,55,低,区域F,150,2406,2022,不可抢占
33985,实时推理任务,1656,3,291,高,区域A,20,1661,1656,不可抢占
33986,批量推理任务,2283,13,218,中,区域B,80,2406,2283,不可抢占
33987,实时推理任务,419,6,92,高,区域B,20,421,419,不可抢占
33988,实时推理任务,1136,3,225,高,区域B,20,1140,1136,不可抢占
33989,批量推理任务,239,6,14,中,区域D,80,2406,239,不可抢占
33990,批量推理任务,1792,9,256,中,区域F,80,2406,1792,不可抢占
33991,人工智能训练任务,957,108,324,低,区域B,150,2406,957,不可抢占
33992,批量推理任务,916,22,366,中,区域B,80,2406,916,不可抢占
33993,批量推理任务,174,4,235,中,区域B,80,2406,174,不可抢占
33994,人工智能训练任务,1726,123,379,低,区域E,150,2406,1726,不可抢占
33995,人工智能训练任务,2095,86,38,低,区域E,150,2406,2095,不可抢占
33996,实时推理任务,421,3,382,高,区域C,20,428,421,不可抢占
33997,人工智能训练任务,569,30,370,低,区域F,150,2406,569,不可抢占
33998,实时推理任务,1882,5,209,高,区域A,20,1886,1882,不可抢占
33999,实时推理任务,1713,3,16,高,区域A,20,1714,1713,不可抢占
34000,批量推理任务,701,22,85,中,区域C,80,2406,701,不可抢占
34001,实时推理任务,937,2,43,高,区域B,20,938,937,不可抢占
34002,批量推理任务,738,10,228,中,区域D,80,2406,738,不可抢占
34003,批量推理任务,5,6,149,中,区域F,80,2406,5,不可抢占
34004,实时推理任务,1888,2,317,高,区域A,20,1894,1888,不可抢占
34005,人工智能训练任务,1832,96,91,低,区域D,150,2406,1832,不可抢占
34006,实时推理任务,1706,3,105,高,区域A,20,1708,1706,不可抢占
34007,批量推理任务,1375,8,95,中,区域C,80,2406,1375,不可抢占
34008,人工智能训练任务,275,87,105,低,区域E,150,2406,275,不可抢占
34009,实时推理任务,520,5,290,高,区域C,20,525,520,不可抢占
34010,批量推理任务,403,19,23,中,区域F,80,2406,403,不可抢占
34011,实时推理任务,1374,5,61,高,区域A,20,1376,1374,不可抢占
34012,人工智能训练任务,1064,40,65,低,区域D,150,2406,1064,不可抢占
34013,实时推理任务,1853,2,302,高,区域B,20,1859,1853,不可抢占
34014,实时推理任务,336,6,288,高,区域B,20,341,336,不可抢占
34015,人工智能训练任务,2256,72,346,低,区域E,150,2406,2256,不可抢占
34016,实时推理任务,875,5,345,高,区域C,20,881,875,不可抢占
34017,实时推理任务,543,5,268,高,区域A,20,548,543,不可抢占
34018,人工智能训练任务,235,80,172,低,区域D,150,2406,235,不可抢占
34019,实时推理任务,680,4,377,高,区域A,20,687,680,不可抢占
34020,批量推理任务,912,7,117,中,区域C,80,2406,912,不可抢占
34021,实时推理任务,1128,1,200,高,区域B,20,1132,1128,不可抢占
34022,人工智能训练任务,1634,121,179,低,区域F,150,2406,1634,不可抢占
34023,批量推理任务,1265,5,33,中,区域F,80,2406,1265,不可抢占
34024,实时推理任务,1856,5,129,高,区域A,20,1859,1856,不可抢占
34025,实时推理任务,2230,6,280,高,区域A,20,2235,2230,不可抢占
34026,人工智能训练任务,1524,52,190,低,区域D,150,2406,1524,不可抢占
34027,实时推理任务,952,2,246,高,区域B,20,957,952,不可抢占
34028,实时推理任务,317,5,173,高,区域C,20,320,317,不可抢占
34029,批量推理任务,1653,8,358,中,区域E,80,2406,1653,不可抢占
34030,批量推理任务,2077,5,190,中,区域F,80,2406,2077,不可抢占
34031,实时推理任务,1326,3,83,高,区域A,20,1328,1326,不可抢占
34032,批量推理任务,727,15,12,中,区域B,80,2406,727,不可抢占
34033,人工智能训练任务,2275,43,39,低,区域D,150,2406,2275,不可抢占
34034,批量推理任务,1390,19,295,中,区域D,80,2406,1390,不可抢占
34035,实时推理任务,436,6,265,高,区域C,20,441,436,不可抢占
34036,人工智能训练任务,1059,107,118,低,区域F,150,2406,1059,不可抢占
34037,人工智能训练任务,969,71,302,低,区域B,150,2406,969,不可抢占
34038,实时推理任务,1551,3,199,高,区域A,20,1555,1551,不可抢占
34039,批量推理任务,2304,4,135,中,区域B,80,2406,2304,不可抢占
34040,实时推理任务,453,6,92,高,区域B,20,455,453,不可抢占
34041,批量推理任务,614,14,301,中,区域D,80,2406,614,不可抢占
34042,人工智能训练任务,1699,32,154,低,区域F,150,2406,1699,不可抢占
34043,批量推理任务,1490,19,381,中,区域F,80,2406,1490,不可抢占
34044,人工智能训练任务,1912,74,288,低,区域C,150,2406,1912,不可抢占
34045,实时推理任务,1549,2,211,高,区域A,20,1553,1549,不可抢占
34046,批量推理任务,795,5,124,中,区域C,80,2406,795,不可抢占
34047,人工智能训练任务,857,51,310,低,区域E,150,2406,857,不可抢占
34048,人工智能训练任务,193,48,37,低,区域E,150,2406,193,不可抢占
34049,实时推理任务,543,7,327,高,区域C,20,549,543,不可抢占
34050,实时推理任务,393,3,251,高,区域A,20,398,393,不可抢占
34051,批量推理任务,2261,9,240,中,区域A,80,2406,2261,不可抢占
34052,人工智能训练任务,2103,32,292,低,区域D,150,2406,2103,不可抢占
34053,实时推理任务,1910,5,303,高,区域B,20,1916,1910,不可抢占
34054,实时推理任务,391,1,316,高,区域C,20,397,391,不可抢占
34055,人工智能训练任务,638,123,153,低,区域F,150,2406,638,不可抢占
34056,实时推理任务,1369,1,361,高,区域E,20,1376,1369,不可抢占
34057,批量推理任务,2004,16,392,中,区域A,80,2406,2004,不可抢占
34058,批量推理任务,358,23,25,中,区域B,80,2406,358,不可抢占
34059,实时推理任务,1506,6,215,高,区域B,20,1510,1506,不可抢占
34060,实时推理任务,730,5,27,高,区域B,20,731,730,不可抢占
34061,实时推理任务,2231,7,148,高,区域C,20,2234,2231,不可抢占
34062,人工智能训练任务,780,72,79,低,区域F,150,2406,780,不可抢占
34063,人工智能训练任务,798,97,19,低,区域A,150,2406,798,不可抢占
34064,批量推理任务,62,4,56,中,区域A,80,2406,62,不可抢占
34065,人工智能训练任务,319,117,162,低,区域D,150,2406,319,不可抢占
34066,批量推理任务,2355,10,173,中,区域C,80,2406,2355,不可抢占
34067,人工智能训练任务,296,61,62,低,区域E,150,2406,296,不可抢占
34068,人工智能训练任务,1245,113,371,低,区域F,150,2406,1245,不可抢占
34069,批量推理任务,1400,7,121,中,区域F,80,2406,1400,不可抢占
34070,人工智能训练任务,1497,84,127,低,区域B,150,2406,1497,不可抢占
34071,批量推理任务,1789,14,214,中,区域B,80,2406,1789,不可抢占
34072,人工智能训练任务,1590,99,362,低,区域D,150,2406,1590,不可抢占
34073,人工智能训练任务,1543,29,341,低,区域E,150,2406,1543,不可抢占
34074,实时推理任务,1408,3,247,高,区域C,20,1413,1408,不可抢占
34075,实时推理任务,1683,2,392,高,区域C,20,1690,1683,不可抢占
34076,批量推理任务,422,6,143,中,区域A,80,2406,422,不可抢占
34077,实时推理任务,1988,3,46,高,区域A,20,1989,1988,不可抢占
34078,实时推理任务,558,5,392,高,区域A,20,565,558,不可抢占
34079,实时推理任务,934,4,256,高,区域B,20,939,934,不可抢占
34080,批量推理任务,1502,4,220,中,区域D,80,2406,1502,不可抢占
34081,人工智能训练任务,1964,105,356,低,区域F,150,2406,1964,不可抢占
34082,人工智能训练任务,1099,82,86,低,区域F,150,2406,1099,不可抢占
34083,实时推理任务,1820,7,12,高,区域A,20,1821,1820,不可抢占
34084,批量推理任务,1559,8,12,中,区域B,80,2406,1559,不可抢占
34085,批量推理任务,707,18,39,中,区域B,80,2406,707,不可抢占
34086,实时推理任务,23,7,14,高,区域B,20,24,23,不可抢占
34087,实时推理任务,534,6,266,高,区域C,20,539,534,不可抢占
34088,实时推理任务,1198,3,306,高,区域C,20,1204,1198,不可抢占
34089,实时推理任务,528,6,190,高,区域F,20,532,528,不可抢占
34090,实时推理任务,1843,1,131,高,区域A,20,1846,1843,不可抢占
34091,实时推理任务,1648,3,249,高,区域A,20,1653,1648,不可抢占
34092,批量推理任务,1274,8,59,中,区域C,80,2406,1274,不可抢占
34093,实时推理任务,889,2,290,高,区域B,20,894,889,不可抢占
34094,人工智能训练任务,788,89,249,低,区域F,150,2406,788,不可抢占
34095,人工智能训练任务,1456,23,387,低,区域F,150,2406,1456,不可抢占
34096,实时推理任务,1849,5,93,高,区域A,20,1851,1849,不可抢占
34097,人工智能训练任务,654,57,28,低,区域D,150,2406,654,不可抢占
34098,实时推理任务,270,2,366,高,区域B,20,277,270,不可抢占
34099,实时推理任务,1297,6,382,高,区域B,20,1304,1297,不可抢占
34100,实时推理任务,662,7,194,高,区域C,20,666,662,不可抢占
34101,批量推理任务,35,11,106,中,区域E,80,2406,35,不可抢占
34102,人工智能训练任务,2369,20,52,低,区域F,150,2406,2369,不可抢占
34103,实时推理任务,227,1,183,高,区域A,20,231,227,不可抢占
34104,批量推理任务,1929,4,280,中,区域B,80,2406,1929,不可抢占
34105,批量推理任务,1051,13,200,中,区域C,80,2406,1051,不可抢占
34106,实时推理任务,194,3,299,高,区域B,20,199,194,不可抢占
34107,人工智能训练任务,477,81,78,低,区域E,150,2406,477,不可抢占
34108,人工智能训练任务,382,35,213,低,区域F,150,2406,382,不可抢占
34109,批量推理任务,1005,7,196,中,区域A,80,2406,1005,不可抢占
34110,实时推理任务,164,2,167,高,区域A,20,167,164,不可抢占
34111,实时推理任务,164,5,135,高,区域A,20,167,164,不可抢占
34112,人工智能训练任务,469,105,322,低,区域D,150,2406,469,不可抢占
34113,实时推理任务,1074,4,118,高,区域C,20,1076,1074,不可抢占
34114,批量推理任务,146,16,346,中,区域E,80,2406,146,不可抢占
34115,实时推理任务,1358,4,124,高,区域E,20,1361,1358,不可抢占
34116,实时推理任务,191,4,297,高,区域A,20,196,191,不可抢占
34117,批量推理任务,2397,19,40,中,区域B,80,2406,2397,不可抢占
34118,批量推理任务,1585,18,53,中,区域C,80,2406,1585,不可抢占
34119,批量推理任务,2190,11,138,中,区域D,80,2406,2190,不可抢占
34120,批量推理任务,1418,11,289,中,区域D,80,2406,1418,不可抢占
34121,实时推理任务,85,4,269,高,区域C,20,90,85,不可抢占
34122,实时推理任务,2245,7,51,高,区域A,20,2246,2245,不可抢占
34123,人工智能训练任务,1467,68,211,低,区域D,150,2406,1467,不可抢占
34124,实时推理任务,1934,4,316,高,区域A,20,1940,1934,不可抢占
34125,人工智能训练任务,743,80,287,低,区域D,150,2406,743,不可抢占
34126,实时推理任务,1881,2,392,高,区域B,20,1888,1881,不可抢占
34127,人工智能训练任务,2168,39,49,低,区域F,150,2406,2168,不可抢占
34128,实时推理任务,2349,1,147,高,区域E,20,2352,2349,不可抢占
34129,实时推理任务,33,1,270,高,区域A,20,38,33,不可抢占
34130,实时推理任务,1394,2,327,高,区域A,20,1400,1394,不可抢占
34131,实时推理任务,742,7,29,高,区域B,20,743,742,不可抢占
34132,批量推理任务,1097,14,195,中,区域C,80,2406,1097,不可抢占
34133,人工智能训练任务,2227,56,73,低,区域E,150,2406,2227,不可抢占
34134,人工智能训练任务,91,117,241,低,区域F,150,2406,91,不可抢占
34135,批量推理任务,1676,18,195,中,区域A,80,2406,1676,不可抢占
34136,人工智能训练任务,1784,39,32,低,区域D,150,2406,1784,不可抢占
34137,批量推理任务,1895,11,223,中,区域B,80,2406,1895,不可抢占
34138,批量推理任务,1633,19,374,中,区域C,80,2406,1633,不可抢占
34139,批量推理任务,1277,23,264,中,区域D,80,2406,1277,不可抢占
34140,实时推理任务,2342,7,336,高,区域C,20,2348,2342,不可抢占
34141,批量推理任务,672,19,33,中,区域F,80,2406,672,不可抢占
34142,人工智能训练任务,2321,54,198,低,区域B,150,2406,2321,不可抢占
34143,实时推理任务,1049,5,363,高,区域A,20,1056,1049,不可抢占
34144,批量推理任务,966,23,245,中,区域B,80,2406,966,不可抢占
34145,实时推理任务,680,4,187,高,区域B,20,684,680,不可抢占
34146,人工智能训练任务,1210,35,157,低,区域E,150,2406,1210,不可抢占
34147,批量推理任务,968,9,291,中,区域E,80,2406,968,不可抢占
34148,批量推理任务,1857,8,13,中,区域F,80,2406,1857,不可抢占
34149,批量推理任务,2383,13,100,中,区域A,80,2406,2383,不可抢占
34150,人工智能训练任务,269,73,135,低,区域D,150,2406,269,不可抢占
34151,实时推理任务,1663,4,146,高,区域B,20,1666,1663,不可抢占
34152,实时推理任务,2086,4,196,高,区域B,20,2090,2086,不可抢占
34153,批量推理任务,1906,20,42,中,区域D,80,2406,1906,不可抢占
34154,人工智能训练任务,493,71,378,低,区域F,150,2406,493,不可抢占
34155,人工智能训练任务,647,52,305,低,区域B,150,2406,647,不可抢占
34156,实时推理任务,669,6,23,高,区域A,20,670,669,不可抢占
34157,实时推理任务,1091,3,187,高,区域B,20,1095,1091,不可抢占
34158,人工智能训练任务,1110,52,331,低,区域E,150,2406,1110,不可抢占
34159,人工智能训练任务,2346,41,389,低,区域E,150,2406,2346,不可抢占
34160,批量推理任务,1140,9,164,中,区域E,80,2406,1140,不可抢占
34161,批量推理任务,1237,20,327,中,区域F,80,2406,1237,不可抢占
34162,人工智能训练任务,1244,112,169,低,区域C,150,2406,1244,不可抢占
34163,人工智能训练任务,1454,65,304,低,区域D,150,2406,1454,不可抢占
34164,人工智能训练任务,1618,76,212,低,区域D,150,2406,1618,不可抢占
34165,人工智能训练任务,1271,52,160,低,区域E,150,2406,1271,不可抢占
34166,批量推理任务,1345,13,353,中,区域D,80,2406,1345,不可抢占
34167,实时推理任务,1075,3,205,高,区域C,20,1079,1075,不可抢占
34168,实时推理任务,483,7,210,高,区域A,20,487,483,不可抢占
34169,人工智能训练任务,1507,26,148,低,区域D,150,2406,1507,不可抢占
34170,批量推理任务,575,10,64,中,区域B,80,2406,575,不可抢占
34171,人工智能训练任务,381,97,56,低,区域D,150,2406,381,不可抢占
34172,批量推理任务,542,20,322,中,区域D,80,2406,542,不可抢占
34173,批量推理任务,227,20,231,中,区域E,80,2406,227,不可抢占
34174,批量推理任务,263,18,291,中,区域F,80,2406,263,不可抢占
34175,实时推理任务,831,1,10,高,区域A,20,832,831,不可抢占
34176,人工智能训练任务,349,49,353,低,区域D,150,2406,349,不可抢占
34177,批量推理任务,959,12,74,中,区域C,80,2406,959,不可抢占
34178,人工智能训练任务,531,89,30,低,区域E,150,2406,531,不可抢占
34179,批量推理任务,1651,9,78,中,区域D,80,2406,1651,不可抢占
34180,批量推理任务,1624,18,19,中,区域E,80,2406,1624,不可抢占
34181,实时推理任务,541,3,41,高,区域A,20,542,541,不可抢占
34182,实时推理任务,1440,1,242,高,区域A,20,1445,1440,不可抢占
34183,批量推理任务,1081,18,12,中,区域B,80,2406,1081,不可抢占
34184,批量推理任务,603,11,124,中,区域C,80,2406,603,不可抢占
34185,批量推理任务,2339,16,121,中,区域D,80,2406,2339,不可抢占
34186,实时推理任务,851,7,110,高,区域C,20,853,851,不可抢占
34187,批量推理任务,707,22,363,中,区域F,80,2406,707,不可抢占
34188,实时推理任务,1692,3,108,高,区域A,20,1694,1692,不可抢占
34189,批量推理任务,1807,5,122,中,区域B,80,2406,1807,不可抢占
34190,人工智能训练任务,891,31,252,低,区域D,150,2406,891,不可抢占
34191,实时推理任务,1887,1,78,高,区域B,20,1889,1887,不可抢占
34192,人工智能训练任务,108,91,21,低,区域E,150,2406,108,不可抢占
34193,实时推理任务,875,5,304,高,区域C,20,881,875,不可抢占
34194,批量推理任务,1639,7,185,中,区域F,80,2406,1639,不可抢占
34195,人工智能训练任务,1618,23,64,低,区域D,150,2406,1618,不可抢占
34196,实时推理任务,208,6,263,高,区域A,20,213,208,不可抢占
34197,人工智能训练任务,1961,98,313,低,区域D,150,2406,1961,不可抢占
34198,批量推理任务,868,5,116,中,区域D,80,2406,868,不可抢占
34199,人工智能训练任务,474,39,293,低,区域F,150,2406,474,不可抢占
34200,人工智能训练任务,357,49,291,低,区域F,150,2406,357,不可抢占
34201,人工智能训练任务,2384,78,116,低,区域B,150,2406,2384,不可抢占
34202,实时推理任务,2248,4,46,高,区域A,20,2249,2248,不可抢占
34203,实时推理任务,2117,3,241,高,区域B,20,2122,2117,不可抢占
34204,人工智能训练任务,2311,89,227,低,区域E,150,2406,2311,不可抢占
34205,实时推理任务,2089,7,67,高,区域C,20,2091,2089,不可抢占
34206,人工智能训练任务,863,27,276,低,区域F,150,2406,863,不可抢占
34207,人工智能训练任务,1312,24,80,低,区域F,150,2406,1312,不可抢占
34208,实时推理任务,1812,6,74,高,区域A,20,1814,1812,不可抢占
